medicine_name,used_for
Paracetamol 65,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 65,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 65,सूजन और दर्द में राहत के लिए
Ciprofloxacin 65,संक्रमण के इलाज में उपयोगी
Metronidazole 65,दस्त और संक्रमण में उपयोगी
Azithromycin 65,गले और छाती के संक्रमण के लिए
Levocetirizine 65,एलर्जी और छींक में राहत के लिए
Cetirizine 65,एलर्जी और खुजली में उपयोगी
Pantoprazole 65,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 65,पेट की गैस और जलन में राहत
Omeprazole 65,अम्लता में राहत के लिए
Dolo 65,बुखार और दर्द में उपयोगी
Calpol 65,बच्चों के बुखार और दर्द के लिए
ORS 65,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 65,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 65,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 65,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 65,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 65,हड्डियों की मजबूती के लिए
Calcium 65,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 65,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 65,दमा और सांस की तकलीफ में राहत
Betadine 65,घावों को साफ़ करने के लिए
Domperidone 65,उल्टी और मतली में राहत के लिए
Diclofenac 65,दर्द और सूजन में उपयोगी
Paracetamol 66,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 66,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 66,सूजन और दर्द में राहत के लिए
Ciprofloxacin 66,संक्रमण के इलाज में उपयोगी
Metronidazole 66,दस्त और संक्रमण में उपयोगी
Azithromycin 66,गले और छाती के संक्रमण के लिए
Levocetirizine 66,एलर्जी और छींक में राहत के लिए
Cetirizine 66,एलर्जी और खुजली में उपयोगी
Pantoprazole 66,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 66,पेट की गैस और जलन में राहत
Omeprazole 66,अम्लता में राहत के लिए
Dolo 66,बुखार और दर्द में उपयोगी
Calpol 66,बच्चों के बुखार और दर्द के लिए
ORS 66,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 66,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 66,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 66,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 66,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 66,हड्डियों की मजबूती के लिए
Calcium 66,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 66,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 66,दमा और सांस की तकलीफ में राहत
Betadine 66,घावों को साफ़ करने के लिए
Domperidone 66,उल्टी और मतली में राहत के लिए
Diclofenac 66,दर्द और सूजन में उपयोगी
Paracetamol 67,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 67,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 67,सूजन और दर्द में राहत के लिए
Ciprofloxacin 67,संक्रमण के इलाज में उपयोगी
Metronidazole 67,दस्त और संक्रमण में उपयोगी
Azithromycin 67,गले और छाती के संक्रमण के लिए
Levocetirizine 67,एलर्जी और छींक में राहत के लिए
Cetirizine 67,एलर्जी और खुजली में उपयोगी
Pantoprazole 67,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 67,पेट की गैस और जलन में राहत
Omeprazole 67,अम्लता में राहत के लिए
Dolo 67,बुखार और दर्द में उपयोगी
Calpol 67,बच्चों के बुखार और दर्द के लिए
ORS 67,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 67,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 67,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 67,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 67,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 67,हड्डियों की मजबूती के लिए
Calcium 67,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 67,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 67,दमा और सांस की तकलीफ में राहत
Betadine 67,घावों को साफ़ करने के लिए
Domperidone 67,उल्टी और मतली में राहत के लिए
Diclofenac 67,दर्द और सूजन में उपयोगी
Paracetamol 68,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 68,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 68,सूजन और दर्द में राहत के लिए
Ciprofloxacin 68,संक्रमण के इलाज में उपयोगी
Metronidazole 68,दस्त और संक्रमण में उपयोगी
Azithromycin 68,गले और छाती के संक्रमण के लिए
Levocetirizine 68,एलर्जी और छींक में राहत के लिए
Cetirizine 68,एलर्जी और खुजली में उपयोगी
Pantoprazole 68,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 68,पेट की गैस और जलन में राहत
Omeprazole 68,अम्लता में राहत के लिए
Dolo 68,बुखार और दर्द में उपयोगी
Calpol 68,बच्चों के बुखार और दर्द के लिए
ORS 68,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 68,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 68,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 68,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 68,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 68,हड्डियों की मजबूती के लिए
Calcium 68,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 68,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 68,दमा और सांस की तकलीफ में राहत
Betadine 68,घावों को साफ़ करने के लिए
Domperidone 68,उल्टी और मतली में राहत के लिए
Diclofenac 68,दर्द और सूजन में उपयोगी
Paracetamol 69,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 69,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 69,सूजन और दर्द में राहत के लिए
Ciprofloxacin 69,संक्रमण के इलाज में उपयोगी
Metronidazole 69,दस्त और संक्रमण में उपयोगी
Azithromycin 69,गले और छाती के संक्रमण के लिए
Levocetirizine 69,एलर्जी और छींक में राहत के लिए
Cetirizine 69,एलर्जी और खुजली में उपयोगी
Pantoprazole 69,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 69,पेट की गैस और जलन में राहत
Omeprazole 69,अम्लता में राहत के लिए
Dolo 69,बुखार और दर्द में उपयोगी
Calpol 69,बच्चों के बुखार और दर्द के लिए
ORS 69,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 69,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 69,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 69,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 69,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 69,हड्डियों की मजबूती के लिए
Calcium 69,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 69,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 69,दमा और सांस की तकलीफ में राहत
Betadine 69,घावों को साफ़ करने के लिए
Domperidone 69,उल्टी और मतली में राहत के लिए
Diclofenac 69,दर्द और सूजन में उपयोगी
Paracetamol 70,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 70,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 70,सूजन और दर्द में राहत के लिए
Ciprofloxacin 70,संक्रमण के इलाज में उपयोगी
Metronidazole 70,दस्त और संक्रमण में उपयोगी
Azithromycin 70,गले और छाती के संक्रमण के लिए
Levocetirizine 70,एलर्जी और छींक में राहत के लिए
Cetirizine 70,एलर्जी और खुजली में उपयोगी
Pantoprazole 70,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 70,पेट की गैस और जलन में राहत
Omeprazole 70,अम्लता में राहत के लिए
Dolo 70,बुखार और दर्द में उपयोगी
Calpol 70,बच्चों के बुखार और दर्द के लिए
ORS 70,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 70,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 70,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 70,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 70,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 70,हड्डियों की मजबूती के लिए
Calcium 70,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 70,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 70,दमा और सांस की तकलीफ में राहत
Betadine 70,घावों को साफ़ करने के लिए
Domperidone 70,उल्टी और मतली में राहत के लिए
Diclofenac 70,दर्द और सूजन में उपयोगी
Paracetamol 71,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 71,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 71,सूजन और दर्द में राहत के लिए
Ciprofloxacin 71,संक्रमण के इलाज में उपयोगी
Metronidazole 71,दस्त और संक्रमण में उपयोगी
Azithromycin 71,गले और छाती के संक्रमण के लिए
Levocetirizine 71,एलर्जी और छींक में राहत के लिए
Cetirizine 71,एलर्जी और खुजली में उपयोगी
Pantoprazole 71,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 71,पेट की गैस और जलन में राहत
Omeprazole 71,अम्लता में राहत के लिए
Dolo 71,बुखार और दर्द में उपयोगी
Calpol 71,बच्चों के बुखार और दर्द के लिए
ORS 71,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 71,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 71,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 71,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 71,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 71,हड्डियों की मजबूती के लिए
Calcium 71,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 71,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 71,दमा और सांस की तकलीफ में राहत
Betadine 71,घावों को साफ़ करने के लिए
Domperidone 71,उल्टी और मतली में राहत के लिए
Diclofenac 71,दर्द और सूजन में उपयोगी
Paracetamol 72,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 72,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 72,सूजन और दर्द में राहत के लिए
Ciprofloxacin 72,संक्रमण के इलाज में उपयोगी
Metronidazole 72,दस्त और संक्रमण में उपयोगी
Azithromycin 72,गले और छाती के संक्रमण के लिए
Levocetirizine 72,एलर्जी और छींक में राहत के लिए
Cetirizine 72,एलर्जी और खुजली में उपयोगी
Pantoprazole 72,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 72,पेट की गैस और जलन में राहत
Omeprazole 72,अम्लता में राहत के लिए
Dolo 72,बुखार और दर्द में उपयोगी
Calpol 72,बच्चों के बुखार और दर्द के लिए
ORS 72,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 72,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 72,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 72,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 72,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 72,हड्डियों की मजबूती के लिए
Calcium 72,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 72,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 72,दमा और सांस की तकलीफ में राहत
Betadine 72,घावों को साफ़ करने के लिए
Domperidone 72,उल्टी और मतली में राहत के लिए
Diclofenac 72,दर्द और सूजन में उपयोगी
Paracetamol 73,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 73,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 73,सूजन और दर्द में राहत के लिए
Ciprofloxacin 73,संक्रमण के इलाज में उपयोगी
Metronidazole 73,दस्त और संक्रमण में उपयोगी
Azithromycin 73,गले और छाती के संक्रमण के लिए
Levocetirizine 73,एलर्जी और छींक में राहत के लिए
Cetirizine 73,एलर्जी और खुजली में उपयोगी
Pantoprazole 73,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 73,पेट की गैस और जलन में राहत
Omeprazole 73,अम्लता में राहत के लिए
Dolo 73,बुखार और दर्द में उपयोगी
Calpol 73,बच्चों के बुखार और दर्द के लिए
ORS 73,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 73,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 73,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 73,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 73,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 73,हड्डियों की मजबूती के लिए
Calcium 73,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 73,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 73,दमा और सांस की तकलीफ में राहत
Betadine 73,घावों को साफ़ करने के लिए
Domperidone 73,उल्टी और मतली में राहत के लिए
Diclofenac 73,दर्द और सूजन में उपयोगी
Paracetamol 74,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 74,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 74,सूजन और दर्द में राहत के लिए
Ciprofloxacin 74,संक्रमण के इलाज में उपयोगी
Metronidazole 74,दस्त और संक्रमण में उपयोगी
Azithromycin 74,गले और छाती के संक्रमण के लिए
Levocetirizine 74,एलर्जी और छींक में राहत के लिए
Cetirizine 74,एलर्जी और खुजली में उपयोगी
Pantoprazole 74,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 74,पेट की गैस और जलन में राहत
Omeprazole 74,अम्लता में राहत के लिए
Dolo 74,बुखार और दर्द में उपयोगी
Calpol 74,बच्चों के बुखार और दर्द के लिए
ORS 74,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 74,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 74,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 74,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 74,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 74,हड्डियों की मजबूती के लिए
Calcium 74,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 74,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 74,दमा और सांस की तकलीफ में राहत
Betadine 74,घावों को साफ़ करने के लिए
Domperidone 74,उल्टी और मतली में राहत के लिए
Diclofenac 74,दर्द और सूजन में उपयोगी
Paracetamol 75,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 75,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 75,सूजन और दर्द में राहत के लिए
Ciprofloxacin 75,संक्रमण के इलाज में उपयोगी
Metronidazole 75,दस्त और संक्रमण में उपयोगी
Azithromycin 75,गले और छाती के संक्रमण के लिए
Levocetirizine 75,एलर्जी और छींक में राहत के लिए
Cetirizine 75,एलर्जी और खुजली में उपयोगी
Pantoprazole 75,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 75,पेट की गैस और जलन में राहत
Omeprazole 75,अम्लता में राहत के लिए
Dolo 75,बुखार और दर्द में उपयोगी
Calpol 75,बच्चों के बुखार और दर्द के लिए
ORS 75,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 75,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 75,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 75,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 75,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 75,हड्डियों की मजबूती के लिए
Calcium 75,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 75,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 75,दमा और सांस की तकलीफ में राहत
Betadine 75,घावों को साफ़ करने के लिए
Domperidone 75,उल्टी और मतली में राहत के लिए
Diclofenac 75,दर्द और सूजन में उपयोगी
Paracetamol 76,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 76,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 76,सूजन और दर्द में राहत के लिए
Ciprofloxacin 76,संक्रमण के इलाज में उपयोगी
Metronidazole 76,दस्त और संक्रमण में उपयोगी
Azithromycin 76,गले और छाती के संक्रमण के लिए
Levocetirizine 76,एलर्जी और छींक में राहत के लिए
Cetirizine 76,एलर्जी और खुजली में उपयोगी
Pantoprazole 76,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 76,पेट की गैस और जलन में राहत
Omeprazole 76,अम्लता में राहत के लिए
Dolo 76,बुखार और दर्द में उपयोगी
Calpol 76,बच्चों के बुखार और दर्द के लिए
ORS 76,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 76,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 76,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 76,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 76,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 76,हड्डियों की मजबूती के लिए
Calcium 76,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 76,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 76,दमा और सांस की तकलीफ में राहत
Betadine 76,घावों को साफ़ करने के लिए
Domperidone 76,उल्टी और मतली में राहत के लिए
Diclofenac 76,दर्द और सूजन में उपयोगी
Paracetamol 77,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 77,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 77,सूजन और दर्द में राहत के लिए
Ciprofloxacin 77,संक्रमण के इलाज में उपयोगी
Metronidazole 77,दस्त और संक्रमण में उपयोगी
Azithromycin 77,गले और छाती के संक्रमण के लिए
Levocetirizine 77,एलर्जी और छींक में राहत के लिए
Cetirizine 77,एलर्जी और खुजली में उपयोगी
Pantoprazole 77,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 77,पेट की गैस और जलन में राहत
Omeprazole 77,अम्लता में राहत के लिए
Dolo 77,बुखार और दर्द में उपयोगी
Calpol 77,बच्चों के बुखार और दर्द के लिए
ORS 77,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 77,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 77,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 77,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 77,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 77,हड्डियों की मजबूती के लिए
Calcium 77,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 77,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 77,दमा और सांस की तकलीफ में राहत
Betadine 77,घावों को साफ़ करने के लिए
Domperidone 77,उल्टी और मतली में राहत के लिए
Diclofenac 77,दर्द और सूजन में उपयोगी
Paracetamol 78,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 78,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 78,सूजन और दर्द में राहत के लिए
Ciprofloxacin 78,संक्रमण के इलाज में उपयोगी
Metronidazole 78,दस्त और संक्रमण में उपयोगी
Azithromycin 78,गले और छाती के संक्रमण के लिए
Levocetirizine 78,एलर्जी और छींक में राहत के लिए
Cetirizine 78,एलर्जी और खुजली में उपयोगी
Pantoprazole 78,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 78,पेट की गैस और जलन में राहत
Omeprazole 78,अम्लता में राहत के लिए
Dolo 78,बुखार और दर्द में उपयोगी
Calpol 78,बच्चों के बुखार और दर्द के लिए
ORS 78,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 78,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 78,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 78,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 78,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 78,हड्डियों की मजबूती के लिए
Calcium 78,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 78,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 78,दमा और सांस की तकलीफ में राहत
Betadine 78,घावों को साफ़ करने के लिए
Domperidone 78,उल्टी और मतली में राहत के लिए
Diclofenac 78,दर्द और सूजन में उपयोगी
Paracetamol 79,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 79,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 79,सूजन और दर्द में राहत के लिए
Ciprofloxacin 79,संक्रमण के इलाज में उपयोगी
Metronidazole 79,दस्त और संक्रमण में उपयोगी
Azithromycin 79,गले और छाती के संक्रमण के लिए
Levocetirizine 79,एलर्जी और छींक में राहत के लिए
Cetirizine 79,एलर्जी और खुजली में उपयोगी
Pantoprazole 79,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 79,पेट की गैस और जलन में राहत
Omeprazole 79,अम्लता में राहत के लिए
Dolo 79,बुखार और दर्द में उपयोगी
Calpol 79,बच्चों के बुखार और दर्द के लिए
ORS 79,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 79,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 79,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 79,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 79,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 79,हड्डियों की मजबूती के लिए
Calcium 79,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 79,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 79,दमा और सांस की तकलीफ में राहत
Betadine 79,घावों को साफ़ करने के लिए
Domperidone 79,उल्टी और मतली में राहत के लिए
Diclofenac 79,दर्द और सूजन में उपयोगी
Paracetamol 80,बुखार और हल्के दर्द में उपयोगी
Amoxicillin 80,जीवाणु संक्रमण के इलाज में उपयोगी
Ibuprofen 80,सूजन और दर्द में राहत के लिए
Ciprofloxacin 80,संक्रमण के इलाज में उपयोगी
Metronidazole 80,दस्त और संक्रमण में उपयोगी
Azithromycin 80,गले और छाती के संक्रमण के लिए
Levocetirizine 80,एलर्जी और छींक में राहत के लिए
Cetirizine 80,एलर्जी और खुजली में उपयोगी
Pantoprazole 80,एसिडिटी और पेट दर्द में उपयोगी
Ranitidine 80,पेट की गैस और जलन में राहत
Omeprazole 80,अम्लता में राहत के लिए
Dolo 80,बुखार और दर्द में उपयोगी
Calpol 80,बच्चों के बुखार और दर्द के लिए
ORS 80,डिहाइड्रेशन में पानी की कमी को पूरा करता है
Zinc Tablet 80,दस्त में उपयोगी और रोग प्रतिरोधक शक्ति बढ़ाता है
Iron Folic Acid 80,रक्ताल्पता (एनीमिया) में उपयोगी
Albendazole 80,पेट के कीड़ों के इलाज के लिए
Chlorpheniramine 80,"सर्दी, खांसी और एलर्जी के लिए"
Vitamin D 80,हड्डियों की मजबूती के लिए
Calcium 80,हड्डियों और दाँतों की मजबूती के लिए
Multivitamin 80,शारीरिक कमजोरी और थकान में उपयोगी
Salbutamol 80,दमा और सांस की तकलीफ में राहत
Betadine 80,घावों को साफ़ करने के लिए
Domperidone 80,उल्टी और मतली में राहत के लिए
Diclofenac 80,दर्द और सूजन में उपयोगी
